Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,82,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,81,12,E:System.Windows.Forms.Form.Load,,,,,this.Load += new System.EventHandler(this.ChooseModel_Load);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,80,12,P:System.Windows.Forms.Form.Text,,,,,"this.Text = ""TBD_But Select model"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,79,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""ChooseModel"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,78,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.ChooseLabel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,78,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.ChooseLabel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,78,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.ChooseLabel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,78,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.ChooseLabel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,77,12,T:System.Windows.Forms.ComboBox,,,,,this.Controls.Add(this.ModelCombo);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,77,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.ModelCombo);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,77,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.ModelCombo);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,77,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.ModelCombo);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,76,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.saveChanges);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,76,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.saveChanges);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,76,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.saveChanges);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,76,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.saveChanges);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,75,12,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(800, 450);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,74,12,P:System.Windows.Forms.Form.BackColor,,,,,this.BackColor = System.Drawing.SystemColors.ControlLight;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,73,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,73,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,73,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,73,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,73,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,72,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(8F, 16F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,68,12,T:System.Windows.Forms.Button,,,,,this.saveChanges.Click += new System.EventHandler(this.SaveChanges_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,68,12,E:System.Windows.Forms.Control.Click,,,,,this.saveChanges.Click += new System.EventHandler(this.SaveChanges_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,67,12,T:System.Windows.Forms.Button,,,,,this.saveChanges.UseVisualStyleBackColor = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,67,12,P:System.Windows.Forms.ButtonBase.UseVisualStyleBackColor,,,,,this.saveChanges.UseVisualStyleBackColor = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,66,12,T:System.Windows.Forms.Button,,,,,"this.saveChanges.Text = ""Save"";"
